gvkey,firm_name,patent_count,candidate_rank,candidate_cik,candidate_ticker,candidate_sec_name,candidate_exchange,candidate_method,candidate_score,ticker_hint
002721,CANON,79254,1,0000016988,CAJPY,CANON INC,OTC,exact_normalized_name,1.0,
002721,CANON,79254,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
005650,HITACHI,65200,1,0000047710,HTHIY,HITACHI LTD,OTC,exact_normalized_name,1.0,
009818,SONY,63626,1,0000313838,SONY,Sony Group Corp,NYSE,exact_normalized_name,1.0,
009818,SONY,63626,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
009818,SONY,63626,3,0002084022,SFGYY,Sony Financial Group Inc./ADR,OTC,fuzzy_name,0.9,
004925,FUJI,47423,1,0000800365,FUJIY,FUJI PHOTO FILM CO LTD /FI,OTC,fuzzy_name,0.9,
004925,FUJI,47423,2,0002043424,FKURF,Fujikura Ltd/ADR,OTC,fuzzy_name,0.9,
012141,MICROSOFTTECH,45334,1,0001013880,TTEC,"TTEC Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
006008,INTEL,43973,1,0000050863,INTC,INTEL CORP,Nasdaq,exact_normalized_name,1.0,
006008,INTEL,43973,2,0002057030,AXIN,Axiom Intelligence Acquisition Corp 1,Nasdaq,fuzzy_name,0.9,
006008,INTEL,43973,3,0001818201,CCC,CCC Intelligent Solutions Holdings Inc.,Nasdaq,fuzzy_name,0.9,
006008,INTEL,43973,4,0001805521,FFAI,FARADAY FUTURE INTELLIGENT ELECTRIC INC.,Nasdaq,fuzzy_name,0.9,
006008,INTEL,43973,5,0002067016,HAMA,HAMA Intelligence Ltd,,fuzzy_name,0.9,
018467,FUJITSU,39474,1,0001969863,SUGP,SU Group Holdings Ltd,Nasdaq,fuzzy_name,0.9,
008546,PHILIPS,37640,1,0000313216,PHG,KONINKLIJKE PHILIPS NV,NYSE,fuzzy_name,0.9,
008546,PHILIPS,37640,2,0000704172,PHIL,PHI GROUP INC,,fuzzy_name,0.9,
019661,TOYOTAJIDOSHA,32617,1,0001985273,TOYO,"TOYO Co., Ltd",Nasdaq,fuzzy_name,0.9,
019349,SIEMENS,31325,1,0001830056,SMERY,Siemens Energy AG/ADR,OTC,fuzzy_name,0.9,
007114,PANASONIC,30557,1,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
007114,PANASONIC,30557,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
004194,EASTMANKODAK,29721,1,0000031235,KODK,EASTMAN KODAK CO,NYSE,exact_compact_name,0.985,
007343,MICRONTECH,28973,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
007652,NEC,28724,1,0000901832,AZN,ASTRAZENECA PLC,NYSE,fuzzy_name,0.9,
007652,NEC,28724,2,0000790273,CONC,CONECTISYS CORP,OTC,fuzzy_name,0.9,
007652,NEC,28724,3,0001835268,CNTB,Connect Biopharma Holdings Ltd,Nasdaq,fuzzy_name,0.9,
007652,NEC,28724,4,0000023426,CNTHP,CONNECTICUT LIGHT & POWER CO,OTC,fuzzy_name,0.9,
007652,NEC,28724,5,0000712771,CNOB,"ConnectOne Bancorp, Inc.",Nasdaq,fuzzy_name,0.9,
024800,QUALCOMM,26816,1,0000804328,QCOM,QUALCOMM INC/DE,Nasdaq,fuzzy_name,0.95,
005691,HONDAMOTOR,26689,1,0000715153,HMC,HONDA MOTOR CO LTD,NYSE,exact_compact_name,0.985,
005691,HONDAMOTOR,26689,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
011636,XEROX,26199,1,0001770450,XRX,Xerox Holdings Corp,Nasdaq,exact_normalized_name,1.0,
007585,MOTOROLASOLTNS,26032,1,0000737758,TTC,TORO CO,NYSE,fuzzy_name,0.9,
007585,MOTOROLASOLTNS,26032,2,0001941131,TORO,TORO CORP.,Nasdaq,fuzzy_name,0.9,
007585,MOTOROLASOLTNS,26032,3,0000068505,MSI,"Motorola Solutions, Inc.",NYSE,fuzzy_name,0.875,
001690,APPLE,25582,1,0000320193,AAPL,Apple Inc.,Nasdaq,exact_normalized_name,1.0,
001690,APPLE,25582,2,0001418121,APLE,"Apple Hospitality REIT, Inc.",NYSE,fuzzy_name,0.9,
001690,APPLE,25582,3,0001134982,AAPI,"Apple iSports Group, Inc.",OTC,fuzzy_name,0.9,
001690,APPLE,25582,4,0000063330,MLP,MAUI LAND & PINEAPPLE CO INC,NYSE,fuzzy_name,0.9,
001690,APPLE,25582,5,0001654672,PNPL,"PINEAPPLE, INC.",OTC,fuzzy_name,0.9,
004060,DOWCHEM,24568,1,0001751788,DOW,DOW INC.,NYSE,fuzzy_name,0.9,
201395,TAIWANSEMICONDUCTORMFG,22915,1,0001060955,ICLR,ICON PLC,Nasdaq,fuzzy_name,0.9,
201395,TAIWANSEMICONDUCTORMFG,22915,2,0001655891,TRMD,TORM plc,Nasdaq,fuzzy_name,0.9,
004439,ERICSSON,21831,1,0000717826,ERIC,ERICSSON LM TELEPHONE CO,Nasdaq,fuzzy_name,0.9,
004439,ERICSSON,21831,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
002285,BOEING,21686,1,0000012927,BA,BOEING CO,NYSE,exact_normalized_name,1.0,
001300,HONEYWELLINT,21501,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
100699,SHARP,17358,1,0001981535,SBET,"Sharplink, Inc.",Nasdaq,fuzzy_name,0.9,
100699,SHARP,17358,2,0001737995,STSS,Sharps Technology Inc.,Nasdaq,fuzzy_name,0.9,
023671,NOKIATECH,16379,1,0000924613,NOK,NOKIA CORP,NYSE,fuzzy_name,0.9,
008762,PROCTERANDGAMBLE,16105,1,0000080424,PG,PROCTER & GAMBLE Co,NYSE,fuzzy_name,0.8666666666666667,
132740,INFINEONTECH,15097,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
010983,UNITEDTECH,14108,1,0001681206,NODK,"NI Holdings, Inc.",Nasdaq,fuzzy_name,0.9,
010983,UNITEDTECH,14108,2,0000798949,UNTC,UNIT CORP,OTC,fuzzy_name,0.9,
064768,AMAZON,13949,1,0001018724,AMZN,AMAZON COM INC,Nasdaq,fuzzy_name,0.9,
064768,AMAZON,13949,2,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
008889,RCA,12799,1,0001378789,AER,AerCap Holdings N.V.,NYSE,fuzzy_name,0.9,
008889,RCA,12799,2,0001362988,AYR,Aircastle LTD,,fuzzy_name,0.9,
008889,RCA,12799,3,0001469443,RKDA,"Arcadia Biosciences, Inc.",Nasdaq,fuzzy_name,0.9,
008889,RCA,12799,4,0001327899,AAMTF,Armada Mercantile Ltd,OTC,fuzzy_name,0.9,
008889,RCA,12799,5,0001486749,HYPMY,Hypermarcas S.A.,OTC,fuzzy_name,0.9,
002817,CATERPILLAR,12557,1,0000018230,CAT,CATERPILLAR INC,NYSE,exact_normalized_name,1.0,
001161,ADVANCEDMICRODEVICES,11469,1,0000002488,AMD,ADVANCED MICRO DEVICES INC,Nasdaq,exact_compact_name,0.985,
066708,BROADCOM,11047,1,0001730168,AVGO,Broadcom Inc.,Nasdaq,exact_normalized_name,1.0,
007435,3MINNOVATIVEPPTYS,11025,1,0001018963,ATI,ATI INC,NYSE,fuzzy_name,0.9,
007435,3MINNOVATIVEPPTYS,11025,2,0001961847,INHD,INNO HOLDINGS INC.,Nasdaq,fuzzy_name,0.9,
007435,3MINNOVATIVEPPTYS,11025,3,0001021860,NOV,NOV Inc.,NYSE,fuzzy_name,0.9,
007435,3MINNOVATIVEPPTYS,11025,4,0001109345,NVMI,NOVA LTD.,Nasdaq,fuzzy_name,0.9,
031142,STMICROELECTRONICSGRENOBLE2,10886,1,0001895262,NE,Noble Corp plc,NYSE,fuzzy_name,0.9,
031142,STMICROELECTRONICSGRENOBLE2,10886,2,0001956744,TRON,Tron Inc.,Nasdaq,fuzzy_name,0.9,
007536,MONSANTOTECH,10767,1,0001858985,ONON,On Holding AG,NYSE,fuzzy_name,0.9,
