patent_id,app_year,grant_year,assignee_country_mode,inventor_country_mode,benchmark_score,dictionary_score,metadata_score,semantic_lsa_score,text_supervised_score,benchmark_confidence,patent_title,dist_to_threshold
4197514,1977,1980,JP,JP,0.1500000572759052,0.0,0.262378117960959,0.4944930802936147,0.3972413527372316,0.6999998854481896,Microwave delay equalizer comprising a pair of distributed-constant_ elements as a directional coupler,5.727590524085002e-08
8417417,2010,2013,US,US,0.15000005966609903,0.0,0.28164164400186253,0.49056971917014963,0.39888131567150853,0.6999998806678019,Architecture and methodology for holistic vehicle control,5.9666099061495e-08
5285328,1991,1994,DE,DE,0.1499992196428363,0.0,0.24660118276732543,0.4460986727529334,0.39589772265732437,0.7000015607143274,Process for evaluating binary data of a magnetic storage card using curve patterns,7.803571636655349e-07
10060906,2009,2018,DK,DK,0.15000111374625164,0.14182030701213844,0.5329107165953632,0.4666807083459394,0.3689556561636478,0.6999977725074967,Planar sensor,1.1137462516686014e-06
9684125,2016,2017,US,US,0.15000268225707522,0.0,0.2719030064025366,0.4942270541392416,0.39805377816980125,0.6999946354858495,Transport of polarized laser-radiation using a hollow-core fiber,2.6822570752538244e-06
9183961,2013,2015,DE,DE,0.14999727436886717,0.0,0.24660118276732543,0.49063676882851853,0.39589657901572345,0.7000054512622657,Adaptive X-ray filter and method for adaptive attenuation of X-ray radiation,2.725631132793893e-06
6522092,2001,2003,JP,JP,0.15000325344490117,0.0,0.24660118276732543,0.5130256917245207,0.39590009412181093,0.6999934931101977,Light scanner and projection display device using the same,3.253444901207825e-06
4774264,1986,1988,DE,DE,0.14999643478085029,0.0,0.2719030064025366,0.46960156915402795,0.3980501052566902,0.7000071304382994,Process for the production of elastic molded articles,3.5652191496815533e-06
7100943,2004,2006,DE,DE,0.15000421121140156,0.0,0.262378117960959,0.495168715494181,0.397243794815896,0.6999915775771969,Gas bag module,4.211211401594639e-06
9115595,2012,2015,US,US,0.14999493266494257,0.0,0.262378117960959,0.44197636385574945,0.3972383399264002,0.7000101346701149,Clearance control system for a gas turbine,5.067335057395983e-06
4633077,1984,1986,JP,JP,0.14999396914089025,0.0,0.5207824348180637,0.4840996406341141,0.41923650502798365,0.7000120617182195,Photoelectric switch with limit setting means to prevent disablement when the amplifier is saturated,6.030859109718012e-06
7657110,2004,2010,US,US,0.15000611669527864,0.0,0.26759334305557764,0.512216873991166,0.3976889027168556,0.6999877666094427,Image compression using a color visual model,6.116695278668427e-06
4811077,1987,1989,US,US,0.1500064905036792,0.0,0.2719030064025366,0.4779548490294941,0.3980560169894914,0.6999870189926416,Compound semiconductor surface termination,6.490503679235093e-06
5173116,1992,1992,DE,DE,0.1499924431171559,0.0,0.24660118276732543,0.4766137664885174,0.39589373863266436,0.7000151137656883,Preparation of readily dispersible pigment granules,7.556882844067525e-06
4299276,1980,1981,US,US,0.1499922590472527,0.0,0.262378117960959,0.4803582630042939,0.3972367680457567,0.7000154819054947,Heat exchanger having radial support,7.740952747276042e-06
3941803,1975,1976,US,US,0.1500080092882373,0.0,0.2755805160594453,0.47748917521447304,0.3983699872356107,0.6999839814235254,2-(Imidazol-1-yl)benzophenones,8.009288237326162e-06
8066938,2006,2011,US,US,0.14999178225624304,0.0,0.2557519166917451,0.48459618305689256,0.39667237941467387,0.7000164354875139,Ni-Cr-Co alloy for advanced gas turbine engines,8.217743756921969e-06
4609331,1984,1986,US,US,0.1500085144519764,0.0,0.262378117960959,0.5048524560342791,0.39724632461156695,0.6999829710960472,Speed sensitive power steering valve,8.514451976443516e-06
6605890,2000,2003,JP,JP,0.14999066725010268,0.0,0.2557519166917451,0.5083714783500837,0.3966717238686721,0.7000186654997946,Color cathode ray tube having an improved shadow mask,9.332749897283943e-06
4659320,1985,1987,US,US,0.1499906568434776,0.0,0.2557519166917451,0.5042677208437988,0.39667171775028204,0.7000186863130449,Toy vehicle with disc launching apparatus and disks,9.343156522373386e-06
6743277,2002,2004,US,US,0.1499904091380629,0.0,0.2557519166917451,0.4859251338559839,0.3966715721161863,0.7000191817238741,Service reservoir purge of air dryers in pump-off mode,9.590861937053274e-06
8444359,2010,2013,US,US,0.1500097046419795,0.0,0.2719030064025366,0.5123524627986862,0.39805790650405143,0.699980590716041,Seat track and monument attach fastener,9.704641979524364e-06
6507098,1999,2003,TW,TW,0.1499895901088023,0.0,0.3001324296523021,0.5230679632082009,0.40044933625298496,0.7000208197823954,Multi-chip packaging structure,1.0409891197660226e-05
8505464,2011,2013,US,US,0.15001056227311935,0.0,0.2557519166917451,0.48692825585388183,0.3966834201544343,0.6999788754537613,Control strategy for providing regenerative electrical power to trolley line in trolley capable mining truck,1.0562273119379961e-05
7078871,2005,2006,IT,IT,0.14998936201858798,0.0,0.24660118276732543,0.4807095938541432,0.3958919271579584,0.700021275962824,Method for determining the effective resistance of a DC motor and open loop voltage mode controlling of a DC motor,1.063798141198724e-05
8270716,2008,2012,JP,JP,0.14998898793993776,0.0,0.26759334305557764,0.5398536921544954,0.3976788325507902,0.7000220241201245,Selectively compressing picture and text areas of an image to maintain highest quality and effective compaction,1.1012060062209894e-05
7022175,2001,2006,DE,DE,0.15001182825773973,0.0,0.262378117960959,0.4533359800717855,0.3972482726960518,0.6999763434845205,Initial solids mixture for a later organic coating application,1.182825773976548e-05
10822077,2018,2020,US,US,0.15001195516866422,0.0,0.2787909111877056,0.49705560918406005,0.39864561742932053,0.6999760896626716,Geometrically reconfigurable propellers,1.1955168664257165e-05
